task,k_shots,predicted_text,entropy,is_correct
logic_mapping,0,Alpha,2.5892,True
logic_mapping,1,Beta,1.8097,False
logic_mapping,2,Alpha,3.4816,True
logic_mapping,3,Alpha,3.0344,True
logic_mapping,4,Alpha,3.0262,True
logic_mapping,5,Alpha,2.9418,True
logic_mapping,6,Alpha,2.8822,True
logic_mapping,7,Alpha,2.7674,True
logic_mapping,8,Alpha,2.538,True
logic_mapping,9,Beta,2.5021,False
logic_mapping,10,Alpha,2.4838,True
logic_mapping,11,Beta,1.9148,False
logic_mapping,12,Alpha,2.2517,True
logic_mapping,13,Alpha,2.5106,True
logic_mapping,14,Alpha,2.3593,True
logic_mapping,15,Beta,2.0876,False
logic_mapping,16,Alpha,2.2917,True
logic_mapping,17,Alpha,2.5077,True
logic_mapping,18,Alpha,2.3989,True
logic_mapping,19,Beta,2.3011,False
logic_mapping,20,Alpha,2.4461,True
logic_mapping,21,Alpha,2.6824,True
logic_mapping,22,Alpha,2.5749,True
logic_mapping,23,Alpha,2.4879,True
logic_mapping,24,Alpha,2.4687,True
logic_mapping,25,Alpha,2.5974,True
word_reversal,0,gal,1.2113,False
word_reversal,1,gal,2.2013,False
word_reversal,2,gal,2.541,False
word_reversal,3,gal,2.5378,False
word_reversal,4,gal,2.7944,False
word_reversal,5,gal,3.2337,False
word_reversal,6,gal,3.473,False
word_reversal,7,gal,3.3584,False
word_reversal,8,gal,3.2955,False
word_reversal,9,y,3.4341,False
word_reversal,10,y,3.6075,False
word_reversal,11,y,3.6265,False
word_reversal,12,y,3.8629,False
word_reversal,13,l,3.9154,False
word_reversal,14,y,3.8427,False
word_reversal,15,y,3.7119,False
word_reversal,16,y,3.6241,False
word_reversal,17,y,3.8548,False
word_reversal,18,l,3.6299,False
word_reversal,19,y,3.673,False
word_reversal,20,gal,3.7261,False
word_reversal,21,y,4.0735,False
word_reversal,22,gal,3.8466,False
emoji_logic,0,,0.3099,False
emoji_logic,1,code,0.305,False
emoji_logic,2,code,0.0471,False
emoji_logic,3,code,0.0691,False
emoji_logic,4,code,0.0881,False
emoji_logic,5,code,0.085,False
emoji_logic,6,code,0.0659,False
emoji_logic,7,code,0.0563,False
emoji_logic,8,code,0.0424,False
emoji_logic,9,code,0.0444,False
emoji_logic,10,code,0.0433,False
emoji_logic,11,code,0.0418,False
emoji_logic,12,code,0.0367,False
emoji_logic,13,code,0.0355,False
emoji_logic,14,code,0.0456,False
emoji_logic,15,code,0.047,False
emoji_logic,16,code,0.0407,False
emoji_logic,17,code,0.036,False
emoji_logic,18,code,0.0416,False
emoji_logic,19,code,0.0372,False
emoji_logic,20,code,0.041,False
emoji_logic,21,code,0.0385,False
